query_name,est_cost,true_cost,plan,physical_plan
3b,915200.2000000001,915200.2000000001,mk-mi k-mk t-mk,HJ-mk-mi HJ-mi mk-k INL-t-k mi mk
3b,920579.2,920579.2,k-mk mi-mk t-mk,HJ-mk-k HJ-k mk-mi INL-t-k mi mk
3c,5327824.8,5327824.8,t-mi mk-t k-mk,HJ-t-mi HJ-mk-mi t HJ-mi mk t-k
3c,5769952.4,5769952.4,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
3c,5850209.4,5850209.4,mk-mi k-mk t-mk,HJ-mk-mi HJ-mi mk-k INL-t-k mi mk
3c,968001.0,968001.0,k-mk mi-mk t-mk,HJ-mk-k INL-mi-k mk INL-t-k mi mk
4a,235730.40000000002,235730.40000000002,t-mi_idx it-mi_idx mk-t k-mk,HJ-t-mi_idx HJ-mi_idx t-it INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4a,3379403.4000000004,3379403.4000000004,t-mk k-mk mi_idx-t it-mi_idx,HJ-mk-t HJ-mk t-k HJ-mi_idx-k mk t HJ-k mi_idx mk t-it
4a,960903.4,960903.4,mk-mi_idx k-mk it-mi_idx t-mk,HJ-mk-mi_idx HJ-mi_idx mk-k HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4a,927025.3999999999,927025.3999999999,k-mk mi_idx-mk it-mi_idx t-mk,HJ-mk-k HJ-k mk-mi_idx HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4a,43624.4,43624.4,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,79245.4,79245.4,t-mi_idx it-mi_idx mk-t k-mk,HJ-t-mi_idx HJ-mi_idx t-it INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,1674865.2000000002,1674865.2000000002,t-mk k-mk mi_idx-t it-mi_idx,HJ-mk-t HJ-mk t-k HJ-k mk t-mi_idx INL-k mi_idx mk t-it
4b,908002.2,908002.2,mk-mi_idx k-mk it-mi_idx t-mk,HJ-mk-mi_idx HJ-mi_idx mk-k HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4b,917952.2,917952.2,k-mk mi_idx-mk it-mi_idx t-mk,HJ-mk-k HJ-k mk-mi_idx HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4b,1036.2,1036.2,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,358570.00000000006,358570.00000000006,t-mi_idx it-mi_idx mk-t k-mk,HJ-t-mi_idx HJ-mi_idx t-it INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,5750444.000000001,5750444.000000001,t-mk mi_idx-t k-mk it-mi_idx,HJ-mk-t HJ-mk t-mi_idx HJ-mi_idx mk t-k HJ-k mi_idx mk t-it
4c,910287.6,910287.6,mk-mi_idx k-mk it-mi_idx t-mk,HJ-mk-mi_idx HJ-mi_idx mk-k HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4c,919408.6,919408.6,k-mk mi_idx-mk it-mi_idx t-mk,HJ-mk-k HJ-k mk-mi_idx HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4c,9295.6,9295.6,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
5a,628770.2,628770.2,t-mi it-mi mc-t ct-mc,HJ-t-mi HJ-mi t-it INL-mc-it mi t HJ-it mc mi t-ct
5a,2014985.2,2014985.2,t-mc ct-mc mi-t it-mi,HJ-mc-t HJ-mc t-ct HJ-mi-ct mc t HJ-ct mc mi t-it
5a,688252.2,688252.2,mc-mi ct-mc it-mi t-mc,HJ-mc-mi HJ-mc mi-ct HJ-ct mc mi-it INL-t-ct it mc mi
5a,665429.2,665429.2,ct-mc mi-mc it-mi t-mc,HJ-mc-ct HJ-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5a,600732.2,600732.2,it-mi mc-mi ct-mc t-mi,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-t-ct it mc mi
5b,910184.9999999999,910184.9999999999,t-mi it-mi mc-t ct-mc,HJ-mi-t HJ-mi t-it INL-mc-it mi t HJ-it mc mi t-ct
5b,589407.3999999999,589407.3999999999,t-mc ct-mc mi-t it-mi,HJ-mc-t HJ-mc t-ct INL-mi-ct mc t INL-it-ct mc mi t
5b,994213.7999999999,994213.7999999999,mc-mi ct-mc it-mi t-mc,HJ-mi-mc HJ-mc mi-ct HJ-ct mc mi-it INL-t-ct it mc mi
5b,94350.80000000002,94350.80000000002,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5b,1380605.9999999998,1380605.9999999998,it-mi t-mi mc-mi ct-mc,HJ-mi-it HJ-it mi-t INL-mc-it mi t HJ-it mc mi t-ct
5c,2129798.2,2129798.2,t-mi mc-t ct-mc it-mi,HJ-t-mi HJ-mi t-mc HJ-mc mi t-ct HJ-ct mc mi t-it
5c,813167.7999999999,813167.7999999999,t-mc ct-mc mi-t it-mi,HJ-t-mc HJ-mc t-ct INL-mi-ct mc t HJ-ct mc mi t-it
5c,793911.7999999999,793911.7999999999,mc-mi ct-mc it-mi t-mc,HJ-mi-mc HJ-mc mi-ct HJ-ct mc mi-it INL-t-ct it mc mi
5c,63729.4,63729.4,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5c,1499887.8,1499887.8,it-mi mc-mi ct-mc t-mi,HJ-mi-it HJ-it mi-mc HJ-it mc mi-ct INL-t-ct it mc mi
6a,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6a,1676787.8,1676787.8,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6a,13656556.6,13656556.6,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n INL-mk-ci n t HJ-ci mk n t-k
6a,228444325.4,228444325.4,ci-mk k-mk n-ci t-ci,HJ-ci-mk HJ-ci mk-k HJ-ci k mk-n INL-t-ci k mk n
6a,7252724.4,7252724.4,n-ci t-ci mk-ci k-mk,HJ-ci-n INL-t-ci n INL-mk-ci n t HJ-ci mk n t-k
6b,941685.6000000001,941685.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k HJ-k mk-t INL-ci-k mk t HJ-ci k mk t-n
6b,907191.6000000001,907191.6000000001,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6b,7252556.4,7252556.4,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n INL-mk-ci n t HJ-ci mk n t-k
6b,228453463.4,228453463.4,ci-mk n-ci k-mk t-ci,HJ-ci-mk HJ-ci mk-n HJ-ci mk n-k HJ-t-ci k mk n
6b,7249943.399999999,7249943.399999999,n-ci t-ci mk-ci k-mk,HJ-ci-n HJ-ci n-t INL-mk-ci n t HJ-ci mk n t-k
6c,904899.6000000001,904899.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6c,906439.2000000001,906439.2000000001,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6c,7252538.000000001,7252538.000000001,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n INL-mk-ci n t HJ-ci mk n t-k
6c,228444325.4,228444325.4,ci-mk k-mk n-ci t-ci,HJ-ci-mk HJ-ci mk-k HJ-ci k mk-n INL-t-ci k mk n
6c,7249925.0,7249925.0,n-ci t-ci mk-ci k-mk,HJ-ci-n HJ-ci n-t INL-mk-ci n t HJ-ci mk n t-k
6d,2582484.0,2582484.0,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6d,6118128.6,6118128.6,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6d,30252142.4,30252142.4,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n INL-mk-ci n t HJ-ci mk n t-k
6d,228453475.8,228453475.8,ci-mk n-ci k-mk t-ci,HJ-ci-mk HJ-ci mk-n HJ-ci mk n-k INL-t-ci k mk n
6d,7260830.8,7260830.8,n-ci t-ci mk-ci k-mk,HJ-ci-n INL-t-ci n INL-mk-ci n t HJ-ci mk n t-k
6e,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6e,4535378.2,4535378.2,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6e,30252051.999999996,30252051.999999996,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n INL-mk-ci n t HJ-ci mk n t-k
6e,228444325.4,228444325.4,ci-mk k-mk n-ci t-ci,HJ-ci-mk HJ-ci mk-k HJ-ci k mk-n INL-t-ci k mk n
6e,7260740.4,7260740.4,n-ci t-ci mk-ci k-mk,HJ-ci-n INL-t-ci n INL-mk-ci n t HJ-ci mk n t-k
6f,4153347.6,4153347.6,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6f,7688992.199999999,7688992.199999999,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t INL-n-ci k mk t
6f,176973886.2,176973886.2,t-ci n-ci mk-t k-mk,HJ-ci-t HJ-ci t-n HJ-ci n t-mk HJ-ci mk n t-k
6f,234021551.0,234021551.0,ci-mk k-mk t-ci n-ci,HJ-ci-mk HJ-ci mk-k HJ-ci k mk-t INL-n-ci k mk t
6f,191883510.2,191883510.2,n-ci t-ci mk-ci k-mk,HJ-ci-n HJ-ci n-t HJ-ci n t-mk HJ-ci mk n t-k
8a,219689.00000000003,219689.00000000003,an-n ci-an rt-ci mc-ci t-ci cn-mc,HJ-an-n INL-ci-an n HJ-an ci n-rt INL-mc-an ci n rt INL-t-an ci mc n rt INL-cn-an ci mc n rt t
8a,46113.399999999994,46113.399999999994,n-ci rt-ci mc-ci t-ci cn-mc an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-t-ci mc n rt INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8a,737887.7999999999,737887.7999999999,ci-t n-ci rt-ci mc-ci cn-mc an-ci,HJ-t-ci HJ-ci t-n HJ-ci n t-rt INL-mc-ci n rt t INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8a,775434.6,775434.6,t-mc cn-mc ci-t rt-ci n-ci an-ci,HJ-t-mc HJ-mc t-cn HJ-ci-cn mc t HJ-ci cn mc t-rt HJ-n-ci cn mc rt t INL-an-ci cn mc n rt t
8a,172054.2,172054.2,mc-cn ci-mc rt-ci n-ci t-mc an-ci,HJ-mc-cn HJ-ci-cn mc HJ-ci cn mc-rt HJ-n-ci cn mc rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
8a,80023.4,80023.4,ci-rt n-ci mc-ci t-ci cn-mc an-ci,HJ-ci-rt HJ-ci rt-n INL-mc-ci n rt INL-t-ci mc n rt INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8a,530588.9999999999,530588.9999999999,an-ci n-an rt-ci mc-ci t-ci cn-mc,HJ-an-ci HJ-an ci-n HJ-an ci n-rt INL-mc-an ci n rt INL-t-an ci mc n rt INL-cn-an ci mc n rt t
8a,116708.79999999999,116708.79999999999,ci-mc rt-ci n-ci cn-mc t-ci an-ci,HJ-ci-mc HJ-ci mc-rt HJ-n-ci mc rt INL-cn-ci mc n rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
8b,217512.40000000002,217512.40000000002,an-n ci-an t-ci rt-ci mc-ci cn-mc,HJ-an-n INL-ci-an n HJ-an ci n-t HJ-an ci n t-rt INL-mc-an ci n rt t INL-cn-an ci mc n rt t
8b,44707.799999999996,44707.799999999996,n-ci t-ci rt-ci mc-ci cn-mc an-n,HJ-ci-n HJ-ci n-t HJ-ci n t-rt INL-mc-ci n rt t INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8b,19056.600000000002,19056.600000000002,ci-t rt-ci n-ci mc-ci cn-mc an-ci,HJ-ci-t HJ-ci t-rt INL-n-ci rt t INL-mc-ci n rt t INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8b,2030.4,2030.4,t-mc cn-mc ci-t rt-ci n-ci an-ci,HJ-mc-t INL-cn-mc t INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8b,18619.800000000003,18619.800000000003,mc-cn t-mc ci-mc rt-ci n-ci an-ci,HJ-mc-cn HJ-cn mc-t INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8b,53714.6,53714.6,ci-rt t-ci mc-ci n-ci cn-mc an-ci,HJ-ci-rt HJ-ci rt-t INL-mc-ci rt t INL-n-ci mc rt t INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8b,501227.2,501227.2,an-ci t-ci rt-ci mc-ci n-an cn-mc,HJ-an-ci HJ-an ci-t HJ-an ci t-rt INL-mc-an ci rt t INL-n-an ci mc rt t INL-cn-an ci mc n rt t
8b,31949.400000000005,31949.400000000005,ci-mc t-ci rt-ci n-ci cn-mc an-ci,HJ-ci-mc HJ-ci mc-t HJ-ci mc t-rt INL-n-ci mc rt t INL-cn-ci mc n rt t INL-an-ci cn mc n rt t
8c,64831730.199999996,64831730.199999996,an-n ci-an rt-ci t-ci mc-ci cn-mc,HJ-n-an HJ-ci-an n HJ-an ci n-rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8c,69752329.2,69752329.2,n-ci rt-ci an-n t-ci mc-ci cn-mc,HJ-ci-n HJ-ci n-rt HJ-ci n rt-an INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8c,67785314.4,67785314.4,ci-t rt-ci an-ci n-ci mc-ci cn-mc,HJ-ci-t HJ-ci t-rt HJ-ci rt t-an INL-n-an ci rt t HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8c,58202693.0,58202693.0,t-mc cn-mc ci-t rt-ci an-ci n-ci,INL-mc-t HJ-mc t-cn HJ-ci-cn mc t HJ-ci cn mc t-rt HJ-ci cn mc rt t-an INL-n-an ci cn mc rt t
8c,55292031.0,55292031.0,mc-cn t-mc ci-mc rt-ci an-ci n-ci,HJ-mc-cn INL-t-cn mc HJ-ci-cn mc t HJ-ci cn mc t-rt HJ-ci cn mc rt t-an INL-n-an ci cn mc rt t
8c,33194444.000000004,33194444.000000004,ci-rt an-ci n-ci t-ci mc-ci cn-mc,HJ-ci-rt HJ-ci rt-an INL-n-an ci rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8c,66882994.0,66882994.0,an-ci rt-ci n-an t-ci mc-ci cn-mc,HJ-ci-an HJ-an ci-rt INL-n-an ci rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8c,110697054.99999999,110697054.99999999,ci-mc rt-ci cn-mc an-ci n-ci t-ci,HJ-ci-mc HJ-ci mc-rt HJ-ci mc rt-cn HJ-ci cn mc rt-an INL-n-an ci cn mc rt INL-t-an ci cn mc n rt
8d,49959484.199999996,49959484.199999996,an-n ci-an rt-ci t-ci mc-ci cn-mc,HJ-n-an HJ-ci-an n HJ-an ci n-rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,51679771.6,51679771.6,n-ci rt-ci an-n t-ci mc-ci cn-mc,HJ-ci-n HJ-ci n-rt INL-an-ci n rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,49827630.800000004,49827630.800000004,ci-t rt-ci n-ci an-ci mc-ci cn-mc,HJ-ci-t HJ-ci t-rt INL-n-ci rt t INL-an-ci n rt t HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,49190214.4,49190214.4,t-mc cn-mc ci-t rt-ci n-ci an-ci,INL-mc-t HJ-mc t-cn HJ-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8d,46279552.4,46279552.4,mc-cn t-mc ci-mc rt-ci n-ci an-ci,HJ-mc-cn INL-t-cn mc HJ-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8d,10987244.4,10987244.4,ci-rt n-ci an-ci t-ci mc-ci cn-mc,HJ-ci-rt INL-n-ci rt INL-an-ci n rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,47761232.0,47761232.0,an-ci rt-ci n-an t-ci mc-ci cn-mc,HJ-ci-an HJ-an ci-rt INL-n-an ci rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,93624168.39999999,93624168.39999999,ci-mc rt-ci cn-mc n-ci t-ci an-ci,HJ-ci-mc HJ-ci mc-rt HJ-ci mc rt-cn INL-n-ci cn mc rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
9a,1630793.8,1630793.8,ci-t n-ci rt-ci chn-ci an-ci mc-ci cn-mc,HJ-t-ci HJ-ci t-n HJ-ci n t-rt INL-chn-ci n rt t INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9a,1640727.8,1640727.8,t-mc cn-mc ci-t n-ci rt-ci chn-ci an-ci,HJ-t-mc HJ-mc t-cn INL-ci-cn mc t HJ-ci cn mc t-n HJ-ci cn mc n t-rt INL-chn-ci cn mc n rt t INL-an-chn ci cn mc n rt t
9a,1204966.0,1204966.0,ci-mc n-ci rt-ci chn-ci cn-mc t-ci an-ci,HJ-ci-mc HJ-ci mc-n HJ-ci mc n-rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t
9a,1967014.8,1967014.8,mc-cn t-mc ci-mc n-ci rt-ci chn-ci an-ci,HJ-mc-cn HJ-t-cn mc INL-ci-cn mc t HJ-ci cn mc t-n HJ-ci cn mc n t-rt INL-chn-ci cn mc n rt t INL-an-chn ci cn mc n rt t
9a,462513.19999999995,462513.19999999995,ci-rt n-ci chn-ci t-ci an-ci mc-ci cn-mc,HJ-ci-rt HJ-ci rt-n INL-chn-ci n rt INL-t-chn ci n rt INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9a,187075.2,187075.2,n-ci rt-ci chn-ci t-ci an-n mc-ci cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9a,2532333.0000000005,2532333.0000000005,chn-ci n-ci rt-ci t-ci an-ci mc-ci cn-mc,HJ-chn-ci HJ-chn ci-n HJ-chn ci n-rt INL-t-chn ci n rt INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9a,195604.40000000002,195604.40000000002,an-n ci-an rt-ci mc-ci t-ci chn-ci cn-mc,HJ-an-n INL-ci-an n HJ-an ci n-rt INL-mc-an ci n rt INL-t-an ci mc n rt INL-chn-an ci mc n rt t INL-cn-an chn ci mc n rt t
9a,3039050.8000000003,3039050.8000000003,an-ci n-an rt-ci chn-ci t-ci mc-ci cn-mc,HJ-an-ci HJ-an ci-n HJ-an ci n-rt INL-chn-an ci n rt INL-t-an chn ci n rt INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9b,912346.6,912346.6,ci-t n-ci rt-ci chn-ci an-ci mc-ci cn-mc,HJ-ci-t HJ-ci t-n HJ-ci n t-rt INL-chn-ci n rt t INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
