query_name,covered_subplans,all_subplans
5a,mi t,19
5a,ct mc,19
5a,it mc mi,19
5a,it mc mi t,19
5a,ct mc mi t,19
5a,ct it mc mi t,19
5a,mc mi t,19
5a,ct mc mi,19
5a,ct it mc mi,19
5a,ct mc t,19
5a,it mi t,19
5b,mc t,19
5b,mc mi,19
5b,it mi,19
5b,mi t,19
5b,ct mc,19
5b,ct mc mi t,19
5b,it mc mi,19
5b,it mc mi t,19
5b,ct it mc mi t,19
5b,mc mi t,19
5b,ct mc mi,19
5b,ct it mc mi,19
5b,ct mc t,19
5b,it mi t,19
5c,mc t,19
5c,mc mi,19
5c,it mi,19
5c,mi t,19
5c,ct mc,19
5c,ct mc mi t,19
5c,it mc mi,19
5c,ct it mc mi t,19
5c,mc mi t,19
5c,ct mc mi,19
5c,ct it mc mi,19
5c,ct mc t,19
5c,it mi t,19
6a,k mk,19
6a,ci k mk t,19
6a,ci n t,19
6a,ci t,19
6a,ci mk,19
6a,mk t,19
6a,k mk t,19
6a,ci k mk,19
6a,ci k mk n t,19
6a,ci mk t,19
6a,ci n,19
6a,ci mk n t,19
6a,ci mk n,19
6a,ci k mk n,19
6b,k mk,19
6b,ci k mk t,19
6b,ci n t,19
6b,ci t,19
6b,ci mk,19
6b,mk t,19
6b,k mk t,19
6b,ci mk t,19
6b,ci k mk n t,19
6b,ci k mk,19
6b,ci n,19
6b,ci mk n t,19
6b,ci mk n,19
6b,ci k mk n,19
6c,k mk,19
6c,ci k mk t,19
6c,ci n t,19
6c,ci t,19
6c,ci mk,19
6c,mk t,19
6c,k mk t,19
6c,ci k mk,19
6c,ci k mk n t,19
6c,ci mk t,19
6c,ci n,19
6c,ci mk n t,19
6c,ci mk n,19
6c,ci k mk n,19
6d,k mk,19
6d,ci k mk t,19
6d,ci n t,19
6d,ci t,19
6d,ci mk,19
6d,mk t,19
6d,k mk t,19
6d,ci k mk,19
6d,ci k mk n t,19
6d,ci mk t,19
6d,ci n,19
6d,ci mk n t,19
6d,ci mk n,19
6d,ci k mk n,19
6e,k mk,19
6e,ci k mk t,19
6e,ci n t,19
6e,ci t,19
6e,ci mk,19
6e,mk t,19
6e,k mk t,19
6e,ci k mk,19
6e,ci k mk n t,19
6e,ci mk t,19
6e,ci n,19
6e,ci mk n t,19
6e,ci mk n,19
6e,ci k mk n,19
6f,k mk,19
6f,ci k mk t,19
6f,ci n t,19
6f,ci t,19
6f,ci mk,19
6f,mk t,19
6f,k mk t,19
6f,ci k mk,19
6f,ci k mk n t,19
6f,ci mk t,19
6f,ci n,19
6f,ci mk n,19
6f,ci k mk n,19
8a,ci cn mc rt,58
8a,ci t,58
8a,ci mc,58
8a,an ci mc n rt t,58
8a,ci mc n,58
8a,ci n rt t,58
8a,cn mc,58
8a,ci cn mc n rt,58
8a,an ci cn mc n rt t,58
8a,ci mc t,58
8a,ci n t,58
8a,an ci mc rt,58
8a,an ci n rt t,58
8a,an ci cn mc n rt,58
8a,ci mc rt,58
8a,an ci,58
8a,ci n rt,58
8a,an ci n,58
8a,an ci n rt,58
8a,ci rt,58
8a,ci n,58
8a,ci mc n rt,58
8a,ci mc rt t,58
8a,ci rt t,58
8a,an ci rt,58
8a,an ci t,58
8a,ci mc n rt t,58
8a,ci cn mc,58
8a,an ci n t,58
8a,ci mc n t,58
8a,mc t,58
8a,ci cn mc n rt t,58
8a,an ci mc n,58
8a,ci cn mc n,58
8a,an ci mc,58
8a,cn mc t,58
8a,an ci mc n rt,58
8a,an n,58
8b,ci t,58
8b,ci mc,58
8b,an ci mc n rt t,58
8b,ci mc n,58
8b,ci n rt t,58
8b,ci cn mc t,58
8b,cn mc,58
8b,an ci cn mc n rt t,58
8b,an ci cn mc n t,58
8b,ci cn mc n t,58
8b,ci n t,58
8b,an ci rt t,58
8b,an ci cn mc t,58
8b,an ci n rt t,58
8b,ci mc rt,58
8b,an ci,58
8b,ci cn mc rt t,58
8b,ci n rt,58
8b,an ci n,58
8b,an ci mc t,58
8b,ci rt,58
8b,ci n,58
8b,ci mc rt t,58
8b,an ci mc rt t,58
8b,an ci t,58
8b,ci rt t,58
8b,an ci rt,58
8b,an ci n t,58
8b,ci cn mc,58
8b,ci mc n rt t,58
8b,ci mc n t,58
8b,mc t,58
8b,ci cn mc n rt t,58
8b,an ci cn mc rt t,58
8b,an ci mc,58
8b,cn mc t,58
8b,ci mc t,58
8b,an n,58
8c,ci cn mc rt,58
8c,ci t,58
8c,ci mc,58
8c,ci mc n,58
8c,ci n rt t,58
8c,ci cn mc t,58
8c,cn mc,58
8c,an ci mc n rt,58
8c,an ci cn mc n rt t,58
8c,ci n t,58
8c,ci cn mc n t,58
8c,an ci rt t,58
8c,an ci cn mc t,58
8c,an ci n rt t,58
8c,an ci cn mc n rt,58
8c,ci mc rt,58
8c,an ci,58
8c,ci cn mc rt t,58
8c,ci n rt,58
8c,an ci n,58
8c,an ci n rt,58
8c,ci rt,58
8c,ci n,58
8c,an ci t,58
8c,ci mc rt t,58
8c,ci rt t,58
8c,an ci rt,58
8c,ci cn mc,58
8c,mc t,58
8c,ci cn mc n rt t,58
8c,an ci mc n,58
8c,an ci cn mc,58
8c,ci cn mc n,58
8c,an ci cn mc rt t,58
8c,an ci mc,58
8c,cn mc t,58
8c,ci mc t,58
8c,an n,58
8d,ci cn mc rt,58
8d,ci t,58
8d,ci mc,58
8d,an ci mc n rt t,58
8d,ci mc n,58
8d,ci n rt t,58
8d,ci cn mc t,58
8d,cn mc,58
8d,ci cn mc n rt,58
8d,an ci cn mc n rt t,58
8d,ci mc t,58
8d,ci n t,58
8d,an ci mc rt,58
8d,an ci rt t,58
8d,an ci n rt t,58
8d,an ci cn mc n rt,58
8d,ci mc rt,58
8d,an ci,58
8d,ci cn mc rt t,58
8d,ci n rt,58
8d,an ci n,58
8d,an ci n rt,58
8d,ci rt,58
8d,an ci cn mc rt,58
8d,ci n,58
8d,ci mc n rt,58
8d,an ci t,58
8d,ci rt t,58
8d,an ci rt,58
8d,ci mc rt t,58
8d,an ci mc rt t,58
8d,ci cn mc,58
8d,mc t,58
8d,ci cn mc n rt t,58
8d,an ci mc,58
8d,cn mc t,58
8d,an ci mc n rt,58
8d,an n,58
9a,ci t,107
9a,ci mc,107
9a,an ci mc n rt t,107
9a,ci mc n,107
9a,an chn ci n rt t,107
9a,chn ci cn mc n rt,107
9a,ci n rt t,107
9a,cn mc,107
9a,chn ci n,107
9a,ci cn mc n rt,107
9a,an chn ci mc n rt t,107
9a,an chn ci n,107
9a,an ci cn mc n rt t,107
9a,ci mc t,107
9a,chn ci mc n rt t,107
9a,ci n t,107
9a,chn ci n t,107
9a,an chn ci n rt,107
9a,chn ci mc n rt,107
9a,chn ci mc n,107
9a,chn ci n rt t,107
9a,chn ci mc,107
9a,an ci n rt t,107
9a,an ci cn mc n rt,107
9a,ci mc rt,107
9a,an ci,107
9a,an chn ci cn mc n rt t,107
9a,an chn ci cn mc n rt,107
9a,ci n rt,107
9a,an ci n,107
9a,an ci n rt,107
9a,ci rt,107
9a,chn ci n rt,107
9a,ci n,107
9a,ci mc n rt,107
9a,an ci t,107
9a,ci rt t,107
9a,an ci rt,107
9a,an chn ci mc n rt,107
9a,an ci n t,107
9a,ci cn mc,107
9a,chn ci,107
9a,ci mc n rt t,107
9a,ci mc n t,107
9a,mc t,107
9a,ci cn mc n rt t,107
9a,an ci mc n,107
9a,chn ci rt,107
9a,ci cn mc n,107
9a,chn ci cn mc n rt t,107
9a,an ci mc,107
9a,chn ci t,107
9a,cn mc t,107
9a,an chn ci,107
9a,an ci mc n rt,107
9a,an n,107
9b,an ci mc n t,107
9b,ci t,107
9b,ci mc,107
9b,an ci mc n rt t,107
9b,ci mc n,107
9b,an chn ci n rt t,107
9b,chn ci cn mc n rt,107
9b,ci n rt t,107
9b,ci cn mc t,107
9b,cn mc,107
9b,chn ci n,107
9b,ci cn mc n rt,107
9b,an chn ci mc n rt t,107
9b,an chn ci n,107
9b,ci mc t,107
9b,chn ci mc n rt t,107
9b,chn ci mc t,107
9b,ci n t,107
9b,ci cn mc n t,107
9b,chn ci n t,107
9b,an chn ci n rt,107
9b,chn ci mc n rt,107
9b,chn ci mc n,107
9b,chn ci n rt t,107
9b,chn ci mc,107
9b,an ci n rt t,107
9b,an ci cn mc n rt,107
9b,ci mc rt,107
9b,an ci,107
9b,an chn ci cn mc n rt t,107
9b,an chn ci cn mc n rt,107
9b,ci n rt,107
9b,an ci n,107
9b,an ci n rt,107
9b,ci rt,107
9b,an ci mc t,107
9b,chn ci n rt,107
9b,ci n,107
9b,ci mc n rt,107
9b,ci mc rt t,107
9b,ci rt t,107
9b,an ci rt,107
9b,an ci t,107
9b,an chn ci mc n rt,107
9b,an ci n t,107
9b,ci cn mc,107
9b,chn ci,107
9b,ci mc n rt t,107
9b,ci mc n t,107
9b,mc t,107
9b,ci cn mc n rt t,107
9b,an ci mc n,107
9b,chn ci rt,107
9b,chn ci mc n t,107
9b,ci cn mc n,107
9b,chn ci cn mc n rt t,107
9b,an ci mc,107
9b,chn ci t,107
9b,cn mc t,107
9b,an chn ci,107
9b,an ci mc n rt,107
9b,an n,107
9c,ci t,107
9c,ci mc,107
9c,ci mc n,107
9c,an chn ci n rt t,107
9c,chn ci cn mc n rt,107
9c,ci n rt t,107
9c,cn mc,107
9c,chn ci n,107
9c,ci cn mc n rt,107
9c,an chn ci mc n rt t,107
9c,an chn ci n,107
9c,chn ci mc n rt t,107
9c,ci mc t,107
9c,ci n t,107
9c,chn ci n t,107
9c,an chn ci n rt,107
9c,chn ci mc n rt,107
9c,chn ci n rt t,107
9c,chn ci mc n,107
9c,chn ci mc,107
9c,an ci n rt t,107
9c,an ci cn mc n rt,107
9c,ci mc rt,107
9c,an ci,107
9c,an chn ci cn mc n rt t,107
9c,an chn ci cn mc n rt,107
9c,ci n rt,107
9c,an ci n,107
9c,an ci n rt,107
9c,ci rt,107
9c,chn ci n rt,107
9c,ci n,107
9c,ci mc n rt,107
9c,an ci t,107
9c,ci rt t,107
9c,an ci rt,107
9c,an chn ci mc n rt,107
9c,an ci n t,107
9c,ci cn mc,107
9c,chn ci,107
9c,ci mc n rt t,107
9c,ci mc n t,107
9c,mc t,107
9c,ci cn mc n rt t,107
9c,an ci mc n,107
9c,chn ci rt,107
9c,ci cn mc n,107
9c,chn ci cn mc n rt t,107
9c,chn ci t,107
9c,an ci mc,107
9c,cn mc t,107
9c,an chn ci,107
9c,an ci mc n rt,107
9c,an n,107
9d,ci cn mc rt,107
9d,ci t,107
9d,ci mc,107
9d,ci mc n,107
9d,an chn ci n rt t,107
9d,chn ci cn mc n rt,107
9d,ci n rt t,107
9d,an ci mc n rt,107
9d,cn mc,107
9d,chn ci n,107
9d,ci cn mc n rt,107
9d,an chn ci mc n rt t,107
9d,an chn ci rt t,107
9d,chn ci mc n rt t,107
9d,chn ci mc rt t,107
9d,ci n t,107
9d,an ci mc rt,107
9d,an chn ci n rt,107
9d,an ci rt t,107
9d,chn ci mc n rt,107
9d,chn ci n rt t,107
9d,chn ci mc,107
9d,an chn ci cn mc rt,107
9d,an ci n rt t,107
9d,chn ci cn mc rt,107
9d,ci mc rt,107
9d,an ci,107
9d,an chn ci cn mc n rt t,107
9d,an chn ci cn mc n rt,107
9d,ci n rt,107
9d,ci cn mc rt t,107
9d,an ci n,107
9d,an ci n rt,107
9d,ci rt,107
9d,chn ci rt t,107
9d,an ci cn mc rt,107
9d,chn ci n rt,107
9d,ci n,107
9d,ci mc n rt,107
9d,chn ci cn mc rt t,107
9d,ci rt t,107
9d,an ci rt,107
9d,an chn ci rt,107
9d,chn ci mc rt,107
9d,an ci t,107
9d,ci mc rt t,107
9d,an chn ci mc n rt,107
9d,ci cn mc,107
9d,chn ci,107
9d,mc t,107
9d,chn ci rt,107
9d,chn ci cn mc n rt t,107
9d,chn ci t,107
9d,an ci mc,107
9d,cn mc t,107
9d,an chn ci,107
9d,ci mc t,107
9d,an n,107
10a,ci ct mc,53
10a,cn ct mc t,53
10a,ci cn mc rt,53
10a,ci t,53
10a,ci mc,53
10a,ct mc,53
10a,chn ci cn mc,53
10a,chn ci ct mc rt t,53
10a,ci cn mc t,53
10a,cn mc,53
10a,ct mc t,53
10a,ci cn ct mc,53
10a,chn ci mc rt t,53
10a,chn ci cn ct mc,53
10a,ci cn ct mc rt t,53
10a,ci cn ct mc rt,53
10a,chn ci cn ct mc rt t,53
10a,chn ci mc,53
10a,chn ci cn mc rt,53
10a,chn ci cn ct mc t,53
10a,ci mc rt,53
10a,ci cn mc rt t,53
10a,ci rt,53
10a,chn ci rt t,53
10a,chn ci cn mc rt t,53
10a,chn ci cn ct mc rt,53
10a,ci mc rt t,53
10a,ci rt t,53
10a,chn ci mc rt,53
10a,ci cn mc,53
10a,chn ci,53
10a,cn ct mc,53
10a,mc t,53
10a,chn ci rt,53
10a,ci cn ct mc t,53
10a,chn ci t,53
10a,cn mc t,53
10a,ci mc t,53
10b,ci ct mc,53
10b,cn ct mc t,53
10b,ci cn mc rt,53
10b,ci t,53
10b,ci mc,53
10b,ct mc,53
10b,chn ci cn mc,53
10b,ci cn mc t,53
10b,cn mc,53
10b,ct mc t,53
10b,ci cn ct mc,53
10b,chn ci mc rt t,53
10b,chn ci cn ct mc,53
10b,ci cn ct mc rt t,53
10b,ci cn ct mc rt,53
10b,chn ci cn ct mc rt t,53
10b,chn ci mc,53
10b,chn ci cn mc rt,53
10b,chn ci cn ct mc t,53
10b,ci mc rt,53
10b,ci cn mc rt t,53
10b,ci rt,53
10b,chn ci rt t,53
10b,chn ci cn mc rt t,53
10b,chn ci cn ct mc rt,53
10b,ci mc rt t,53
10b,ci rt t,53
10b,ci cn mc,53
10b,chn ci,53
10b,cn ct mc,53
10b,mc t,53
10b,ci cn ct mc t,53
10b,chn ci rt,53
10b,chn ci t,53
10b,cn mc t,53
10b,ci mc t,53
10c,ci ct mc,53
10c,cn ct mc t,53
10c,ci cn mc rt,53
10c,ci t,53
10c,ci mc,53
10c,ct mc,53
10c,chn ci cn mc,53
10c,ci cn mc t,53
10c,cn mc,53
10c,ct mc t,53
10c,ci cn ct mc,53
10c,chn ci cn ct mc,53
10c,ci cn ct mc rt t,53
10c,ci cn ct mc rt,53
10c,chn ci cn ct mc rt t,53
10c,chn ci mc,53
10c,chn ci cn mc rt,53
10c,chn ci cn ct mc t,53
10c,ci mc rt,53
10c,ci cn mc rt t,53
10c,ci rt,53
10c,chn ci rt t,53
10c,chn ci cn ct mc rt,53
10c,ci mc rt t,53
10c,ci rt t,53
10c,chn ci mc rt,53
10c,ci cn mc,53
10c,chn ci,53
10c,cn ct mc,53
10c,mc t,53
10c,chn ci rt,53
10c,ci cn ct mc t,53
10c,chn ci t,53
10c,cn mc t,53
10c,ci mc t,53
17a,k mk,56
17a,ci t,56
17a,ci mc,56
17a,ci cn k mc mk n t,56
17a,ci mk,56
17a,ci mc n,56
17a,ci k mk n t,56
17a,ci mk t,56
17a,ci k mc mk n t,56
17a,cn k mc mk,56
17a,ci mk n,56
17a,cn mc,56
17a,ci k mc mk n,56
17a,ci n t,56
17a,ci cn k mc mk,56
17a,ci mc mk,56
17a,ci cn k mc mk t,56
17a,k mk t,56
17a,ci k mk,56
17a,k mc mk,56
17a,ci n,56
17a,ci k mc mk t,56
17a,cn k mc mk t,56
17a,ci cn mc,56
17a,mc t,56
17a,ci k mk t,56
17a,k mc mk t,56
17a,mc mk t,56
17a,mk t,56
17a,mc mk,56
17a,ci k mk n,56
17a,cn mc t,56
17a,ci k mc mk,56
17a,ci mc t,56
17a,cn mc mk,56
17b,k mk,56
17b,ci t,56
17b,ci mc,56
17b,ci cn k mc mk n t,56
17b,ci mk,56
17b,ci mc n,56
17b,ci k mk n t,56
17b,ci mk t,56
17b,ci k mc mk n t,56
17b,cn k mc mk,56
17b,ci mk n,56
17b,ci cn mc mk n,56
17b,ci mk n t,56
17b,cn mc,56
17b,ci k mc mk n,56
17b,ci mc mk n,56
17b,ci n t,56
17b,ci cn mc n t,56
17b,ci cn k mc mk,56
17b,ci mc mk,56
17b,ci cn k mc mk t,56
17b,k mk t,56
17b,ci k mk,56
17b,k mc mk,56
17b,ci n,56
17b,ci k mc mk t,56
17b,cn k mc mk t,56
17b,ci cn mc,56
17b,ci mc n t,56
17b,mc t,56
17b,ci k mk t,56
17b,k mc mk t,56
17b,mc mk t,56
17b,ci cn mc n,56
17b,mk t,56
17b,mc mk,56
17b,ci k mk n,56
17b,cn mc t,56
17b,ci k mc mk,56
17b,ci mc t,56
17b,ci cn k mc mk n,56
17b,cn mc mk,56
17c,ci mc mk n t,56
17c,k mk,56
17c,ci t,56
17c,ci mc,56
17c,ci cn k mc mk n t,56
17c,ci mk,56
17c,ci mc n,56
17c,ci k mk n t,56
17c,ci mk t,56
17c,ci k mc mk n t,56
17c,cn k mc mk,56
17c,ci mk n,56
17c,ci mk n t,56
17c,cn mc,56
17c,ci k mc mk n,56
17c,ci mc mk n,56
17c,ci n t,56
17c,ci cn mc n t,56
17c,ci cn k mc mk,56
17c,ci mc mk,56
17c,ci cn k mc mk t,56
17c,k mk t,56
17c,ci k mk,56
17c,k mc mk,56
17c,ci n,56
17c,ci k mc mk t,56
17c,cn k mc mk t,56
17c,ci cn mc mk n t,56
17c,ci cn mc,56
17c,ci mc n t,56
17c,mc t,56
17c,ci k mk t,56
17c,k mc mk t,56
17c,mc mk t,56
17c,ci cn mc n,56
17c,mk t,56
17c,mc mk,56
17c,ci k mk n,56
17c,cn mc t,56
17c,ci k mc mk,56
17c,ci mc t,56
17c,cn mc mk,56
17d,ci mc mk n t,56
17d,k mk,56
17d,ci t,56
17d,ci mc,56
17d,ci cn k mc mk n t,56
17d,ci mk,56
17d,ci mc n,56
17d,ci k mk n t,56
17d,ci mk t,56
17d,ci k mc mk n t,56
17d,cn k mc mk,56
17d,ci mk n,56
17d,ci mk n t,56
17d,cn mc,56
17d,ci k mc mk n,56
17d,ci mc mk n,56
17d,ci n t,56
17d,ci cn mc n t,56
17d,ci cn k mc mk,56
17d,ci mc mk,56
17d,ci cn k mc mk t,56
17d,k mk t,56
17d,ci k mk,56
17d,k mc mk,56
17d,ci n,56
17d,ci k mc mk t,56
17d,cn k mc mk t,56
17d,ci cn mc mk n t,56
17d,ci cn mc,56
17d,ci mc n t,56
17d,mc t,56
17d,ci k mk t,56
17d,k mc mk t,56
17d,mc mk t,56
17d,ci cn mc n,56
17d,mk t,56
17d,mc mk,56
17d,ci k mk n,56
17d,cn mc t,56
17d,ci k mc mk,56
17d,ci mc t,56
17d,cn mc mk,56
17e,k mk,56
17e,ci t,56
17e,ci mc,56
17e,ci cn k mc mk n t,56
17e,ci mk,56
17e,ci mc n,56
17e,ci k mk n t,56
17e,ci mk t,56
17e,ci k mc mk n t,56
17e,cn k mc mk,56
17e,ci mk n,56
17e,cn mc,56
17e,ci n t,56
17e,ci cn k mc mk,56
17e,ci mc mk,56
17e,ci cn k mc mk t,56
17e,k mk t,56
17e,ci k mk,56
17e,k mc mk,56
17e,ci n,56
17e,ci k mc mk t,56
17e,cn k mc mk t,56
17e,ci cn mc,56
17e,mc t,56
17e,ci k mk t,56
17e,k mc mk t,56
17e,mc mk t,56
17e,mk t,56
17e,mc mk,56
17e,ci k mk n,56
17e,cn mc t,56
17e,ci k mc mk,56
17e,ci mc t,56
17e,ci cn k mc mk n,56
17e,cn mc mk,56
17f,k mk,56
17f,ci t,56
17f,ci mc,56
17f,ci cn k mc mk n t,56
17f,ci mk,56
17f,ci mc n,56
17f,ci k mk n t,56
17f,ci mk t,56
17f,ci k mc mk n t,56
17f,cn k mc mk,56
17f,ci mk n,56
17f,cn mc,56
17f,ci k mc mk n,56
17f,ci n t,56
17f,ci cn k mc mk,56
17f,ci mc mk,56
17f,ci cn k mc mk t,56
17f,k mk t,56
17f,ci k mk,56
17f,k mc mk,56
17f,ci n,56
17f,ci k mc mk t,56
17f,cn k mc mk t,56
17f,ci cn mc,56
17f,mc t,56
17f,ci k mk t,56
17f,k mc mk t,56
17f,mc mk t,56
17f,mk t,56
17f,mc mk,56
17f,ci k mk n,56
17f,cn mc t,56
17f,ci k mc mk,56
17f,ci mc t,56
17f,cn mc mk,56
18a,ci it1 mi mi_idx n t,56
18a,ci t,56
18a,ci mi_idx,56
18a,ci it2 mi_idx n,56
18a,it1 it2 mi mi_idx t,56
18a,ci mi_idx n,56
18a,mi_idx t,56
18a,ci n t,56
18a,ci it2 mi_idx n t,56
18a,ci it2 mi_idx,56
18a,ci it2 mi mi_idx n,56
18a,ci mi_idx t,56
18a,ci mi mi_idx,56
18a,it2 mi mi_idx,56
18a,ci it1 it2 mi mi_idx t,56
18a,ci mi_idx n t,56
18a,ci it1 mi n t,56
18a,ci mi n t,56
18a,mi mi_idx,56
18a,mi t,56
18a,ci it1 mi mi_idx,56
18a,ci it1 it2 mi mi_idx n t,56
18a,it2 mi_idx,56
18a,ci it1 mi mi_idx n,56
18a,it2 mi mi_idx t,56
18a,ci it1 it2 mi mi_idx,56
18a,ci n,56
18a,ci it2 mi_idx t,56
18a,ci it1 mi t,56
18a,it1 mi mi_idx,56
18a,ci mi t,56
18a,it1 mi t,56
18a,ci it1 mi mi_idx t,56
18a,ci it1 mi n,56
18a,it1 mi,56
18a,it2 mi_idx t,56
18a,mi mi_idx t,56
18a,ci mi n,56
18a,ci mi mi_idx n t,56
18a,ci it1 mi,56
18a,ci it2 mi mi_idx n t,56
18a,it1 mi mi_idx t,56
18a,ci mi,56
18a,ci mi mi_idx n,56
18a,it1 it2 mi mi_idx,56
18b,ci t,56
18b,ci mi_idx,56
18b,ci it2 mi_idx n,56
18b,it1 it2 mi mi_idx t,56
18b,ci mi_idx n,56
18b,mi_idx t,56
18b,ci n t,56
18b,ci it2 mi_idx n t,56
18b,ci it2 mi_idx,56
18b,ci mi mi_idx,56
18b,ci mi_idx t,56
18b,ci it2 mi mi_idx n,56
18b,ci it1 it2 mi mi_idx t,56
18b,it2 mi mi_idx,56
18b,ci it2 mi mi_idx t,56
18b,mi mi_idx,56
18b,mi t,56
18b,ci it1 mi mi_idx,56
18b,ci it2 mi mi_idx,56
18b,it2 mi_idx,56
18b,ci it1 it2 mi mi_idx n t,56
18b,it2 mi mi_idx t,56
18b,ci it1 it2 mi mi_idx,56
18b,ci n,56
18b,ci it2 mi_idx t,56
18b,it1 mi mi_idx,56
18b,ci mi t,56
18b,it1 mi t,56
18b,it1 mi,56
18b,it2 mi_idx t,56
18b,mi mi_idx t,56
18b,ci mi n,56
18b,ci it1 it2 mi mi_idx n,56
18b,ci it1 mi,56
18b,ci it2 mi mi_idx n t,56
18b,it1 mi mi_idx t,56
18b,ci mi,56
18b,it1 it2 mi mi_idx,56
18c,ci it1 mi mi_idx n t,56
18c,ci t,56
18c,ci mi_idx,56
18c,ci it2 mi_idx n,56
18c,it1 it2 mi mi_idx t,56
18c,ci mi_idx n,56
18c,mi_idx t,56
18c,ci n t,56
18c,ci it2 mi_idx,56
18c,ci mi mi_idx,56
18c,ci mi_idx t,56
18c,it2 mi mi_idx,56
18c,ci it1 it2 mi mi_idx t,56
18c,ci it1 mi n t,56
18c,mi mi_idx,56
18c,mi t,56
18c,ci it1 mi mi_idx,56
18c,ci it1 mi mi_idx n,56
18c,it2 mi_idx,56
18c,ci it1 it2 mi mi_idx n t,56
18c,ci it2 mi mi_idx,56
18c,it2 mi mi_idx t,56
